"Source","Destination","Bytes","LastWriteTime"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T04-25-28-019dfb1a-c1d4-76c3-8785-185c2b5bf3d5.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T04-25-28-019dfb1a-c1d4-76c3-8785-185c2b5bf3d5.jsonl","427799","06/05/2026 04:31:38"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T05-55-28-019dfb6d-2778-7be0-a163-ce0f4812117d.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T05-55-28-019dfb6d-2778-7be0-a163-ce0f4812117d.jsonl","554928","06/05/2026 06:06:14"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T07-25-29-019dfbbf-925b-7211-b2e8-50de8dcb60ad.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T07-25-29-019dfbbf-925b-7211-b2e8-50de8dcb60ad.jsonl","351956","06/05/2026 07:35:13"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T10-07-35-019dfc53-faa2-76a2-b2f7-69f72b0e5ff8.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T10-07-35-019dfc53-faa2-76a2-b2f7-69f72b0e5ff8.jsonl","458004","06/05/2026 10:20:48"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T11-38-00-019dfca6-c18d-7101-a784-e4901614bb5a.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T11-38-00-019dfca6-c18d-7101-a784-e4901614bb5a.jsonl","267322","06/05/2026 11:41:27"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T13-08-02-019dfcf9-3003-7921-a9b6-6c6fe68eae53.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T13-08-02-019dfcf9-3003-7921-a9b6-6c6fe68eae53.jsonl","238599","06/05/2026 13:10:45"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T14-38-04-019dfd4b-9ecb-7dd1-934f-02b8f948f8cb.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T14-38-04-019dfd4b-9ecb-7dd1-934f-02b8f948f8cb.jsonl","282420","06/05/2026 14:42:30"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T16-08-04-019dfd9e-045b-7442-8e3e-d54b36b3efdc.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T16-08-04-019dfd9e-045b-7442-8e3e-d54b36b3efdc.jsonl","324912","06/05/2026 16:12:41"
"C:\Users\sinek\.codex\archived_sessions\rollout-2026-05-06T17-38-06-019dfdf0-717c-7451-aa2a-f7c50139cd37.jsonl","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\rollout-2026-05-06T17-38-06-019dfdf0-717c-7451-aa2a-f7c50139cd37.jsonl","341804","06/05/2026 17:43:22"
"C:\Users\sinek\.codex\automations\maxi-trouvailles-couche-par-couche\automation.toml","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\automations\maxi-trouvailles-couche-par-couche\automation.toml","2609","09/06/2026 07:30:44"
"C:\Users\sinek\.codex\automations\maxi-trouvailles-vid-o-tiktok-toutes-les-2h\automation.toml","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\automations\maxi-trouvailles-vid-o-tiktok-toutes-les-2h\automation.toml","1966","06/05/2026 17:57:43"
"C:\Users\sinek\.codex\automations\maxi-trouvailles-vid-o-tiktok-toutes-les-2h\memory.md","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\rapatriement-jarvis-20260609-181603\sessions-codex\automations\maxi-trouvailles-vid-o-tiktok-toutes-les-2h\memory.md","604","06/05/2026 17:43:05"
