id,slug,name,parentId,visible,imageUrl,imageFileName,localPath,exists,isWebp,width,height,bytes,priority,warnings,failures,creativeBrief
"colis-surprise-palettes","colis-surprise-palettes","Colis surprise & palettes","","false","/uploads/category-images/colis-surprise-palettes.webp","colis-surprise-palettes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\colis-surprise-palettes.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Cartons ouverts, colis mysteres et objets qui debordent, ambiance destockage surprise."
"dropshipping","produits-partenaires","Produits partenaires","","true","/uploads/category-images/dropshipping.webp","dropshipping.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\dropshipping.webp","","","","","","OK","","","Selection produits partenaires variee, ecommerce moderne, sans marketplace ni logo."
"dropshipping-nouveautes","nouveautes-partenaires","Nouveautés","dropshipping","true","/uploads/category-images/dropshipping-nouveautes.webp","dropshipping-nouveautes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\dropshipping-nouveautes.webp","","","","","","OK","","","Produits nouveaux et tendance, mise en avant nouveautes, style ecommerce propre."
"dropshipping-promotions","promotions-partenaires","Promotions","dropshipping","true","/uploads/category-images/dropshipping-promotions.webp","dropshipping-promotions.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\dropshipping-promotions.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Promotions visuelles propres, etiquettes prix sans marque, ambiance bonnes affaires."
"dropshipping-maison","maison-partenaires","Maison","dropshipping","true","/uploads/category-images/maison.webp","maison.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\maison.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Pieces maison, rangement et confort interieur, ambiance claire et utile."
"dropshipping-cuisine","cuisine-partenaires","Cuisine","dropshipping","true","/uploads/category-images/cuisine.webp","cuisine.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\cuisine.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Robot cuisine, ustensiles, vaisselle, mugs et cuisine moderne reconnaissable."
"dropshipping-beaute","beaute-partenaires","Beauté","dropshipping","true","/uploads/category-images/beaute-sante.webp","beaute-sante.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\beaute-sante.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Soins, maquillage, parfum, bien-etre et accessoires beaute, rendu lumineux."
"dropshipping-high-tech","high-tech-partenaires","High-tech","dropshipping","true","/uploads/category-images/high-tech.webp","high-tech.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\high-tech.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Ecrans, ordinateurs, objets connectes et technologie moderne, sans logo visible."
"dropshipping-accessoires","accessoires-partenaires","Accessoires","dropshipping","true","/uploads/category-images/accessoires.webp","accessoires.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\accessoires.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Sacs, montres, bijoux et accessoires mode varies, rendu boutique premium leger."
"dropshipping-auto-moto","auto-moto-partenaires","Auto / Moto","dropshipping","true","/uploads/category-images/auto-moto.webp","auto-moto.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\auto-moto.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Voiture et moto cote a cote, accessoires auto modernes, lumiere propre."
"dropshipping-animaux","animaux-partenaires","Animaux","dropshipping","true","/uploads/category-images/animaux.webp","animaux.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\animaux.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Chien, chat et accessoires animalerie propres, ambiance chaleureuse sans marque visible."
"dropshipping-enfant","enfant-partenaires","Enfant","dropshipping","true","/uploads/category-images/jouets.webp","jouets.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\jouets.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Jouets enfants, univers colore, figurines et jeux, rendu joyeux mais propre."
"dropshipping-mode","mode-partenaires","Mode","dropshipping","true","/uploads/category-images/vetements.webp","vetements.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\vetements.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Portants vetements, mode homme/femme, ambiance boutique textile."
"palettes-destockage","palettes-destockage","Palettes","colis-surprise-palettes","false","/uploads/category-images/espace-revendeur.webp","espace-revendeur.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\espace-revendeur.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Palettes, cartons en gros, stock professionnel, ambiance entrepot ou revente."
"colis-mysteres","colis-mysteres","Colis mystères","colis-surprise-palettes","false","/uploads/category-images/colis-surprise-palettes.webp","colis-surprise-palettes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\colis-surprise-palettes.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Cartons ouverts, colis mysteres et objets qui debordent, ambiance destockage surprise."
"colis-au-poids","colis-au-poids","Colis au poids","colis-surprise-palettes","false","/uploads/category-images/colis-surprise-palettes.webp","colis-surprise-palettes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\colis-surprise-palettes.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Cartons ouverts, colis mysteres et objets qui debordent, ambiance destockage surprise."
