id;name;categoryId;priorityScore;targetSalePrice;targetMargin;status;blockers;nextAction;image
integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;92;24.90 EUR;13.70 EUR (55%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;91;18.90 EUR;11.30 EUR (60%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;91;17.90 EUR;11.70 EUR (65%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;90;19.90 EUR;12.30 EUR (62%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;89;18.90 EUR;11.70 EUR (62%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;89;24.90 EUR;13.70 EUR (55%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";/uploads/category-images/auto-moto.webp
integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;89;19.90 EUR;11.70 EUR (59%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;89;15.90 EUR;10.50 EUR (66%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;88;14.90 EUR;10.10 EUR (68%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;87;16.90 EUR;10.80 EUR (64%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;87;13.90 EUR;9.60 EUR (69%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;87;12.90 EUR;9.40 EUR (73%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
