priority;id;name;status;fields;images;missing_zones;failures;warnings;product_json_path;product_markdown_path
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\housse-protection-canape-animal-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\housse-protection-canape-animal-partenaire-hold.md
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\cache-multiprise-boite-rangement-cables-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\cache-multiprise-boite-rangement-cables-partenaire-hold.md
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\trousse-toilette-suspendue-voyage-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\trousse-toilette-suspendue-voyage-partenaire-hold.md
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\etagere-douche-angle-adhesive-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\etagere-douche-angle-adhesive-partenaire-hold.md
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\boite-a-the-compartiments-bambou-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\boite-a-the-compartiments-bambou-partenaire-hold.md
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\organisateur-coffre-voiture-pliable-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\organisateur-coffre-voiture-pliable-partenaire-hold.md
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\organisateur-tiroir-cuisine-extensible-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\organisateur-tiroir-cuisine-extensible-partenaire-hold.md
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\sacs-compression-voyage-lot-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\sacs-compression-voyage-lot-partenaire-hold.md
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\sac-repas-isotherme-pliable-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\sac-repas-isotherme-pliable-partenaire-hold.md
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;HOLD_SESSION_READY_TO_FILL;11;3;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\boite-rangement-medicaments-vide-partenaire-hold.json;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\tableaux-action\session-sourcing-integration-articles\20260613\produits\boite-rangement-medicaments-vide-partenaire-hold.md
