priority;id;name;status;evidenceFilled;validImages;blockers;nextAction
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:housse-protection-canape-animal-partenaire-hold-main.webp|image_missing:housse-protection-canape-animal-partenaire-hold-detail-1.webp|image_missing:housse-protection-canape-animal-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp|image_missing:cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp|image_missing:cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:trousse-toilette-suspendue-voyage-partenaire-hold-main.webp|image_missing:trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp|image_missing:trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:etagere-douche-angle-adhesive-partenaire-hold-main.webp|image_missing:etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp|image_missing:etagere-douche-angle-adhesive-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:boite-a-the-compartiments-bambou-partenaire-hold-main.webp|image_missing:boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp|image_missing:boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:organisateur-coffre-voiture-pliable-partenaire-hold-main.webp|image_missing:organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp|image_missing:organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp|image_missing:organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp|image_missing:organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:sacs-compression-voyage-lot-partenaire-hold-main.webp|image_missing:sacs-compression-voyage-lot-partenaire-hold-detail-1.webp|image_missing:sacs-compression-voyage-lot-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:sac-repas-isotherme-pliable-partenaire-hold-main.webp|image_missing:sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp|image_missing:sac-repas-isotherme-pliable-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;exact_product_url_missing|partner_name_missing|supplier_sku_missing|exact_variant_missing|supplier_price_missing|supplier_stock_missing|delivery_france_europe_missing|tracking_not_confirmed|image_rights_missing|mouss_validation_missing|image_missing:boite-rangement-medicaments-vide-partenaire-hold-main.webp|image_missing:boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp|image_missing:boite-rangement-medicaments-vide-partenaire-hold-variant.webp;"Completer le CSV, verifier fournisseur France/Europe, puis deposer les WebP exacts attendus."
