rank,productId,productName,priorityLane,fieldPriority,imageIndex,role,requiredShot,targetPublicUrl
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","1","main","photo produit entier, pochette seule, angle 3/4, fermeture visible","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/01-pochette-organisateur-cables-double-couche-voyage-main.webp"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","2","detail","detail interieur/compartiments et fermeture, sans objet non inclus trompeur","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/02-pochette-organisateur-cables-double-couche-voyage-detail.webp"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","3","usage","mise en situation avec cables pour montrer l'usage, en precisant que les accessoires ne sont pas inclus si besoin","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/03-pochette-organisateur-cables-double-couche-voyage-usage.webp"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","4","dimensions","photo avec repere dimensions lisible ou preuve dimensions separee","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","1","main","support seul, deploye, angle 3/4, matiere et forme visibles","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/01-support-pc-portable-pliant-aluminium-ajustable-main.webp"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","2","detail","detail charniere, reglages, patins ou pliage","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/02-support-pc-portable-pliant-aluminium-ajustable-detail.webp"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","3","usage","usage avec ordinateur en contexte uniquement; ne pas laisser penser que l'ordinateur est inclus","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/03-support-pc-portable-pliant-aluminium-ajustable-usage.webp"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","P1_PREUVE_IMAGE_RAPIDE","a_traiter_en_premier","4","dimensions","dimensions, hauteur/reglage ou encombrement plie/deplie","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","1","main","produit seul avec sangles/fixations visibles, sans promettre compatibilite universelle","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/01-filet-rangement-coffre-voiture-a-sangles-fixes-main.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","2","detail","detail fixation, sangle, couture, crochet ou attache exacte","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/02-filet-rangement-coffre-voiture-a-sangles-fixes-detail.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","3","usage","mise en place dans coffre uniquement si vehicule/compatibilite sont documentes","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/03-filet-rangement-coffre-voiture-a-sangles-fixes-usage.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","4","dimensions","dimensions exactes et elasticite/longueur utile prouvees","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/04-filet-rangement-coffre-voiture-a-sangles-fixes-dimensions.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","5","detail-5","detail fixation, sangle, couture, crochet ou attache exacte","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/05-filet-rangement-coffre-voiture-a-sangles-fixes-detail-5.webp"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","P2_HOLD_OU_REMPLACER","a_ne_pas_debloquer_sans_preuve_dimensions","6","detail-6","detail fixation, sangle, couture, crochet ou attache exacte","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/06-filet-rangement-coffre-voiture-a-sangles-fixes-detail-6.webp"
