product_rank;batch_id;product_id;product_name;category_id;image_order;role;label;status;expected_file_name;deposit_dir;target_path;file_state;reject_if
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;1;main;Image principale exacte;TO_DEPOSIT_HOLD;etagere-douche-angle-adhesive-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;2;detail-1;Image detail exacte;TO_DEPOSIT_HOLD;etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;3;variant;Image variante exacte;TO_DEPOSIT_HOLD;etagere-douche-angle-adhesive-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;1;main;Image principale exacte;TO_DEPOSIT_HOLD;boite-a-the-compartiments-bambou-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;2;detail-1;Image detail exacte;TO_DEPOSIT_HOLD;boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;3;variant;Image variante exacte;TO_DEPOSIT_HOLD;boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;1;main;Image principale exacte;TO_DEPOSIT_HOLD;organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;2;detail-1;Image detail exacte;TO_DEPOSIT_HOLD;organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;3;variant;Image variante exacte;TO_DEPOSIT_HOLD;organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;1;main;Image principale exacte;TO_DEPOSIT_HOLD;organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;2;detail-1;Image detail exacte;TO_DEPOSIT_HOLD;organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;missing;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
