lane;priorityScore;id;name;categoryId;productStatus;holdStatus;targetSalePrice;targetMargin;packetReady;intakeStatus;evidenceFilled;validImages;proofZones;nextAction;imageDepositDir
lane_1_packet_a_remplir;114;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;24.90 EUR;13.70 EUR (55%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\housse-protection-canape-animal-partenaire-hold
lane_1_packet_a_remplir;112;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;19.90 EUR;12.30 EUR (62%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\etagere-douche-angle-adhesive-partenaire-hold
lane_1_packet_a_remplir;111;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;18.90 EUR;11.30 EUR (60%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\cache-multiprise-boite-rangement-cables-partenaire-hold
lane_1_packet_a_remplir;111;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;17.90 EUR;11.70 EUR (65%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\trousse-toilette-suspendue-voyage-partenaire-hold
lane_1_packet_a_remplir;110;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;18.90 EUR;11.70 EUR (62%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-a-the-compartiments-bambou-partenaire-hold
lane_1_packet_a_remplir;110;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;19.90 EUR;11.70 EUR (59%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-tiroir-cuisine-extensible-partenaire-hold
lane_1_packet_a_remplir;109;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;16.90 EUR;10.80 EUR (64%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-rangement-medicaments-vide-partenaire-hold
lane_1_packet_a_remplir;109;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;15.90 EUR;10.50 EUR (66%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sacs-compression-voyage-lot-partenaire-hold
lane_1_packet_a_remplir;108;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;14.90 EUR;10.10 EUR (68%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sac-repas-isotherme-pliable-partenaire-hold
lane_1_packet_a_remplir;107;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;draft;HOLD_INTEGRATION_ARTICLES;24.90 EUR;13.70 EUR (55%);true;HOLD_IMAGES_OR_EVIDENCE_MISSING;1/10;0/3;Fournisseur / SKU|Prix / stock / marge|Livraison / suivi|Images / droits|Validation Mouss;"Remplir le CSV sourcing, chercher fournisseur France/Europe exact et deposer les WebP exacts attendus.";C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-coffre-voiture-pliable-partenaire-hold
