sprint_order;batch_id;product_rank;product_id;product_name;category_id;image_order;role;label;expected_file_name;deposit_dir;status;admin_href;local_file_path;checked_same_article;rights_confirmed;variant_confirmed;mouss_validation;final_decision
1;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;1;main;Image principale exacte;etagere-douche-angle-adhesive-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
2;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;2;detail-1;Image detail exacte;etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
3;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;3;variant;Image variante exacte;etagere-douche-angle-adhesive-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
4;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;1;main;Image principale exacte;boite-a-the-compartiments-bambou-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
5;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;2;detail-1;Image detail exacte;boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
6;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;3;variant;Image variante exacte;boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
7;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;1;main;Image principale exacte;organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
8;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;2;detail-1;Image detail exacte;organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
9;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;3;variant;Image variante exacte;organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
10;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;1;main;Image principale exacte;organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
11;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;2;detail-1;Image detail exacte;organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
12;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;3;variant;Image variante exacte;organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold;TO_DEPOSIT_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;;;;;;HOLD_TO_DEPOSIT
