productRank,productId,productName,imageIndex,role,recommendedDefault,targetPublicUrl,forbiddenModesForGallery,currentGate
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","1","main","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/pochette-organisateur-cables-double-couche-voyage/01-pochette-organisateur-cables-double-couche-voyage-main.webp","generated_lifestyle_only","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","2","detail","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/pochette-organisateur-cables-double-couche-voyage/02-pochette-organisateur-cables-double-couche-voyage-detail.webp","generated_lifestyle_only","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","3","usage","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/pochette-organisateur-cables-double-couche-voyage/03-pochette-organisateur-cables-double-couche-voyage-usage.webp","generated_lifestyle_only","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","4","dimensions","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/pochette-organisateur-cables-double-couche-voyage/04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","generated_lifestyle_only","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","1","main","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/support-pc-portable-pliant-aluminium-ajustable/01-support-pc-portable-pliant-aluminium-ajustable-main.webp","generated_lifestyle_only","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","2","detail","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/support-pc-portable-pliant-aluminium-ajustable/02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","generated_lifestyle_only","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","3","usage","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/support-pc-portable-pliant-aluminium-ajustable/03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","generated_lifestyle_only","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","4","dimensions","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/support-pc-portable-pliant-aluminium-ajustable/04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","1","main","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/01-filet-rangement-coffre-voiture-a-sangles-fixes-main.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","2","detail","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/02-filet-rangement-coffre-voiture-a-sangles-fixes-detail.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","3","usage","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/03-filet-rangement-coffre-voiture-a-sangles-fixes-usage.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","4","dimensions","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/04-filet-rangement-coffre-voiture-a-sangles-fixes-dimensions.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","5","detail-5","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/05-filet-rangement-coffre-voiture-a-sangles-fixes-detail-5.webp","generated_lifestyle_only","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","6","detail-6","keep_hold","/uploads/partner-products/sprint-go-humain-20260612/filet-rangement-coffre-voiture-a-sangles-fixes/06-filet-rangement-coffre-voiture-a-sangles-fixes-detail-6.webp","generated_lifestyle_only","missing_local_file_hold"
