action_order;batch_id;product_rank;product_id;product_name;category_id;action_type;label;status;next_action;admin_href;target_path;reject_if
101;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;Reference produit exacte;TO_FILL_HOLD;Remplir preuve interne: Reference produit exacte;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/exact_product_reference.md;Refuser si la fiche ne montre pas exactement le meme article.
102;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;Nom vendeur ou partenaire;TO_FILL_HOLD;Remplir preuve interne: Nom vendeur ou partenaire;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/partner_name.md;Refuser si le partenaire n'est pas identifiable.
103;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;SKU/reference fournisseur;TO_FILL_HOLD;Remplir preuve interne: SKU/reference fournisseur;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/supplier_sku.md;Refuser si la reference ne correspond pas a la variante cible.
104;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;Variante exacte vendue;TO_FILL_HOLD;Remplir preuve interne: Variante exacte vendue;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/exact_variant.md;Refuser si la variante est ambigue ou differente.
105;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;Prix fournisseur reel en centimes;TO_FILL_HOLD;Remplir preuve interne: Prix fournisseur reel en centimes;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/real_supplier_price_cents.md;"Refuser si le cout est estime, incomplet ou non relie a la variante."
151;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;image;Image principale exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: etagere-douche-angle-adhesive-partenaire-hold-main.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
152;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;image;Image detail exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
153;lot-01;1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;image;Image variante exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: etagere-douche-angle-adhesive-partenaire-hold-variant.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
201;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;Reference produit exacte;TO_FILL_HOLD;Remplir preuve interne: Reference produit exacte;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/exact_product_reference.md;Refuser si la fiche ne montre pas exactement le meme article.
202;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;Nom vendeur ou partenaire;TO_FILL_HOLD;Remplir preuve interne: Nom vendeur ou partenaire;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/partner_name.md;Refuser si le partenaire n'est pas identifiable.
203;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;SKU/reference fournisseur;TO_FILL_HOLD;Remplir preuve interne: SKU/reference fournisseur;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/supplier_sku.md;Refuser si la reference ne correspond pas a la variante cible.
204;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;Variante exacte vendue;TO_FILL_HOLD;Remplir preuve interne: Variante exacte vendue;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/exact_variant.md;Refuser si la variante est ambigue ou differente.
205;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;Prix fournisseur reel en centimes;TO_FILL_HOLD;Remplir preuve interne: Prix fournisseur reel en centimes;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/real_supplier_price_cents.md;"Refuser si le cout est estime, incomplet ou non relie a la variante."
251;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;image;Image principale exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: boite-a-the-compartiments-bambou-partenaire-hold-main.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
