rank;batch_id;batch_number;product_id;product_name;category_id;entry_type;order;label;status;target_path;contract_path;expected_action
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sacs-compression-voyage-lot/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sacs-compression-voyage-lot/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sacs-compression-voyage-lot/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sacs-compression-voyage-lot/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sacs-compression-voyage-lot/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;1;sacs-compression-voyage-lot-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/05-sacs-compression-voyage-lot-01.md;Deposer un WebP exact local puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;2;sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/05-sacs-compression-voyage-lot-02.md;Deposer un WebP exact local puis garder HOLD.
5;lot-02;2;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;3;sacs-compression-voyage-lot-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/05-sacs-compression-voyage-lot-03.md;Deposer un WebP exact local puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sac-repas-isotherme-pliable/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sac-repas-isotherme-pliable/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sac-repas-isotherme-pliable/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sac-repas-isotherme-pliable/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/sac-repas-isotherme-pliable/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;1;sac-repas-isotherme-pliable-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/06-sac-repas-isotherme-pliable-01.md;Deposer un WebP exact local puis garder HOLD.
