rank;productId;name;categoryId;priorityScore;targetSalePrice;targetMargin;supplierMaxCost;evidenceProgress;imageProgress;missingFieldCount;imageTaskCount;missingZones;imageDepositDirRelative;adminProofHref;immediateAction
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;114;24.90 EUR;13.70 EUR (55%);11.20 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/housse-protection-canape-animal-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top-verification-integration_articles_20260612_housse-protection-canape-animal;Trouver une fiche produit exacte France/Europe ou garder HOLD.
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;111;18.90 EUR;11.30 EUR (60%);7.60 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/cache-multiprise-boite-rangement-cables-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;Trouver une fiche produit exacte France/Europe ou garder HOLD.
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;111;17.90 EUR;11.70 EUR (65%);6.20 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-toilette-suspendue-voyage-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;Trouver une fiche produit exacte France/Europe ou garder HOLD.
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;112;19.90 EUR;12.30 EUR (62%);7.60 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;Trouver une fiche produit exacte France/Europe ou garder HOLD.
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;110;18.90 EUR;11.70 EUR (62%);7.20 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#top-verification-integration_articles_20260612_boite-a-the-compartiments-bambou;Trouver une fiche produit exacte France/Europe ou garder HOLD.
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;107;24.90 EUR;13.70 EUR (55%);11.20 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#top-verification-integration_articles_20260612_organisateur-coffre-voiture-pliable;Trouver une fiche produit exacte France/Europe ou garder HOLD.
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;110;19.90 EUR;11.70 EUR (59%);8.20 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#top-verification-integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Trouver une fiche produit exacte France/Europe ou garder HOLD.
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;109;15.90 EUR;10.50 EUR (66%);5.40 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sacs-compression-voyage-lot-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#top-verification-integration_articles_20260612_sacs-compression-voyage-lot;Trouver une fiche produit exacte France/Europe ou garder HOLD.
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;108;14.90 EUR;10.10 EUR (68%);4.80 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sac-repas-isotherme-pliable-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#top-verification-integration_articles_20260612_sac-repas-isotherme-pliable;Trouver une fiche produit exacte France/Europe ou garder HOLD.
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;109;16.90 EUR;10.80 EUR (64%);6.10 EUR;1/10;0/3;11;3;Fournisseur / SKU | Prix / stock / marge | Livraison / suivi | Images / droits | Validation Mouss;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-rangement-medicaments-vide-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#top-verification-integration_articles_20260612_boite-rangement-medicaments-vide;Trouver une fiche produit exacte France/Europe ou garder HOLD.
