step_order;top3_rank;product_id;product_name;category_id;step_type;zone;label;expected_file_name;status;admin_href;next_action;expected_result;rejection_risk
1;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;proof;Source produit exacte;URL produit exacte;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-proof-1;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Reference produit exacte renseignee dans l'atelier interne, non exportee au client.";Refuser si la page ne montre pas exactement le meme article.
2;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;proof;Partenaire logistique;Nom vendeur ou partenaire;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-proof-2;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Nom du partenaire renseigne dans la preuve interne, garde hors surface publique.";Refuser si le partenaire n'est pas identifiable.
3;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;proof;Reference produit;SKU/reference fournisseur;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-proof-3;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Reference produit partenaire verifiee et rattachee au meme article.;Refuser si la reference ne correspond pas a la variante vendue.
4;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;proof;Variante;Variante exacte vendue;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-proof-4;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Variante cible confirmee pour eviter tout ecart de couleur, taille ou lot.";Refuser si la variante est ambigue ou differente.
5;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;proof;Prix et marge;Prix fournisseur reel en centimes;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-proof-5;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Cout reel saisi en interne pour calcul marge et prix cible avant revue.;Refuser si le cout est estime ou incomplet.
6;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;image;Images exactes et droits;WebP main - housse-protection-canape-animal-partenaire-hold-main.webp;housse-protection-canape-animal-partenaire-hold-main.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-image-6;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
7;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;image;Images exactes et droits;WebP detail - housse-protection-canape-animal-partenaire-hold-detail-1.webp;housse-protection-canape-animal-partenaire-hold-detail-1.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-image-7;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
8;1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;image;Images exactes et droits;WebP variant - housse-protection-canape-animal-partenaire-hold-variant.webp;housse-protection-canape-animal-partenaire-hold-variant.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal#top3-image-8;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
9;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;proof;Source produit exacte;URL produit exacte;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-proof-9;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Reference produit exacte renseignee dans l'atelier interne, non exportee au client.";Refuser si la page ne montre pas exactement le meme article.
10;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;proof;Partenaire logistique;Nom vendeur ou partenaire;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-proof-10;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Nom du partenaire renseigne dans la preuve interne, garde hors surface publique.";Refuser si le partenaire n'est pas identifiable.
