productRank,productId,productName,imageIndex,role,currentHostname,targetPublicUrl,exists,ready,alt,validationStatus
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","1","main","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/01-pochette-organisateur-cables-double-couche-voyage-main.webp","false","false","Pochette organisateur câbles double couche voyage - main Maxi Trouvaille","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","2","detail","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/02-pochette-organisateur-cables-double-couche-voyage-detail.webp","false","false","Pochette organisateur câbles double couche voyage - detail Maxi Trouvaille","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","3","usage","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/03-pochette-organisateur-cables-double-couche-voyage-usage.webp","false","false","Pochette organisateur câbles double couche voyage - usage Maxi Trouvaille","missing_local_file_hold"
"1","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","4","dimensions","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/pochette-organisateur-cables-double-couche-voyage/04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","false","false","Pochette organisateur câbles double couche voyage - dimensions Maxi Trouvaille","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","1","main","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/01-support-pc-portable-pliant-aluminium-ajustable-main.webp","false","false","Support PC portable pliant aluminium ajustable - main Maxi Trouvaille","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","2","detail","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","false","false","Support PC portable pliant aluminium ajustable - detail Maxi Trouvaille","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","3","usage","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","false","false","Support PC portable pliant aluminium ajustable - usage Maxi Trouvaille","missing_local_file_hold"
"2","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","4","dimensions","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/support-pc-portable-pliant-aluminium-ajustable/04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","false","false","Support PC portable pliant aluminium ajustable - dimensions Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","1","main","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/01-filet-rangement-coffre-voiture-a-sangles-fixes-main.webp","false","false","Filet rangement coffre voiture à sangles fixes - main Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","2","detail","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/02-filet-rangement-coffre-voiture-a-sangles-fixes-detail.webp","false","false","Filet rangement coffre voiture à sangles fixes - detail Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","3","usage","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/03-filet-rangement-coffre-voiture-a-sangles-fixes-usage.webp","false","false","Filet rangement coffre voiture à sangles fixes - usage Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","4","dimensions","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/04-filet-rangement-coffre-voiture-a-sangles-fixes-dimensions.webp","false","false","Filet rangement coffre voiture à sangles fixes - dimensions Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","5","detail-5","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/05-filet-rangement-coffre-voiture-a-sangles-fixes-detail-5.webp","false","false","Filet rangement coffre voiture à sangles fixes - detail-5 Maxi Trouvaille","missing_local_file_hold"
"3","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","6","detail-6","ae01.alicdn.com","/uploads/partner-products/sprint-go-humain-20260610/filet-rangement-coffre-voiture-a-sangles-fixes/06-filet-rangement-coffre-voiture-a-sangles-fixes-detail-6.webp","false","false","Filet rangement coffre voiture à sangles fixes - detail-6 Maxi Trouvaille","missing_local_file_hold"
