product_rank;batch_id;product_id;product_name;category_id;proof_order;proof_key;label;status;proof_path;file_action;expected_format;reject_if
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;1;exact_product_reference;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_product_reference.md;preserved;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;2;partner_name;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/partner_name.md;preserved;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;3;supplier_sku;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/supplier_sku.md;preserved;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;4;exact_variant;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_variant.md;preserved;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;5;real_supplier_price_cents;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/real_supplier_price_cents.md;preserved;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante."
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;1;exact_product_reference;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_product_reference.md;preserved;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;2;partner_name;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/partner_name.md;preserved;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;3;supplier_sku;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/supplier_sku.md;preserved;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;4;exact_variant;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_variant.md;preserved;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;5;real_supplier_price_cents;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/real_supplier_price_cents.md;preserved;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante."
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;1;exact_product_reference;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/exact_product_reference.md;preserved;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;2;partner_name;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/partner_name.md;preserved;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;3;supplier_sku;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/supplier_sku.md;preserved;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;4;exact_variant;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/exact_variant.md;preserved;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;5;real_supplier_price_cents;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/real_supplier_price_cents.md;preserved;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante."
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;1;exact_product_reference;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_product_reference.md;preserved;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;2;partner_name;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/partner_name.md;preserved;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;3;supplier_sku;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/supplier_sku.md;preserved;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;4;exact_variant;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_variant.md;preserved;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;5;real_supplier_price_cents;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/real_supplier_price_cents.md;preserved;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante."
