next_wave_rank;product_id;slug;product_name;category_id;status;priority_score;target_sale_price;target_margin;proof_task_count;image_task_count;image_deposit_dir;admin_href;next_action
1;integration_articles_20260612_etagere-douche-angle-adhesive;etagere-douche-angle-adhesive-partenaire-hold;Etagere douche angle adhesive;dropshipping-maison;HOLD_NEXT_WAVE_SOURCING_READY;90;19.90 EUR;12.30 EUR (62%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
2;integration_articles_20260612_boite-a-the-compartiments-bambou;boite-a-the-compartiments-bambou-partenaire-hold;Boite a the compartiments bambou;dropshipping-cuisine;HOLD_NEXT_WAVE_SOURCING_READY;89;18.90 EUR;11.70 EUR (62%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;organisateur-coffre-voiture-pliable-partenaire-hold;Organisateur coffre voiture pliable;dropshipping-auto-moto;HOLD_NEXT_WAVE_SOURCING_READY;89;24.90 EUR;13.70 EUR (55%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;organisateur-tiroir-cuisine-extensible-partenaire-hold;Organisateur tiroir cuisine extensible;dropshipping-cuisine;HOLD_NEXT_WAVE_SOURCING_READY;89;19.90 EUR;11.70 EUR (59%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
5;integration_articles_20260612_sacs-compression-voyage-lot;sacs-compression-voyage-lot-partenaire-hold;Sacs compression voyage lot;dropshipping-accessoires;HOLD_NEXT_WAVE_SOURCING_READY;89;15.90 EUR;10.50 EUR (66%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sacs-compression-voyage-lot-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
6;integration_articles_20260612_sac-repas-isotherme-pliable;sac-repas-isotherme-pliable-partenaire-hold;Sac repas isotherme pliable;dropshipping-accessoires;HOLD_NEXT_WAVE_SOURCING_READY;88;14.90 EUR;10.10 EUR (68%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sac-repas-isotherme-pliable-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
7;integration_articles_20260612_boite-rangement-medicaments-vide;boite-rangement-medicaments-vide-partenaire-hold;Boite rangement medicaments vide;dropshipping-maison;HOLD_NEXT_WAVE_SOURCING_READY;87;16.90 EUR;10.80 EUR (64%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-rangement-medicaments-vide-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
8;integration_articles_20260612_pochette-cable-voyage-electronique;pochette-cable-voyage-electronique-partenaire-hold;Pochette cable voyage electronique;dropshipping-accessoires;HOLD_NEXT_WAVE_SOURCING_READY;87;13.90 EUR;9.60 EUR (69%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/pochette-cable-voyage-electronique-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;tapis-souris-ergonomique-repose-poignet-partenaire-hold;Tapis souris ergonomique repose poignet;dropshipping-accessoires;HOLD_NEXT_WAVE_SOURCING_READY;87;12.90 EUR;9.40 EUR (73%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/tapis-souris-ergonomique-repose-poignet-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;trousse-premiers-soins-vide-voyage-partenaire-hold;Trousse premiers soins vide voyage;dropshipping-accessoires;HOLD_NEXT_WAVE_SOURCING_READY;87;12.90 EUR;9.30 EUR (72%);5;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-premiers-soins-vide-voyage-partenaire-hold;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing;"Remplir les preuves internes, deposer uniquement des WebP exacts locaux, puis garder HOLD pour revue Mouss."
