product_rank;product_id;product_name;category_id;proof_order;proof_key;zone;label;status;expected_format;reject_if;admin_href
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive#next-wave-sourcing
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing
