priority,urgency,lane,targetType,targetName,expectedFileName,currentStatus,dropFolderRelative,stagingRelativePath,nextAction,businessImpact,safetyStatus
"1","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","01-pochette-organisateur-cables-double-couche-voyage-main.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\01-pochette-organisateur-cables-double-couche-voyage-main.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"2","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","02-pochette-organisateur-cables-double-couche-voyage-detail.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\02-pochette-organisateur-cables-double-couche-voyage-detail.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"3","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","03-pochette-organisateur-cables-double-couche-voyage-usage.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\03-pochette-organisateur-cables-double-couche-voyage-usage.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"4","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"5","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","01-support-pc-portable-pliant-aluminium-ajustable-main.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\01-support-pc-portable-pliant-aluminium-ajustable-main.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"6","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"7","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"8","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","Deposer le WebP exact avec ce nom.","bloque la mise en vente propre de la fiche produit","HOLD_PHOTOS_PRODUITS"
"9","P1","image_categorie_dropshipping","categorie","High-tech","dropshipping-high-tech.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\01-high-tech-dropshipping-high-tech","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\01-high-tech-dropshipping-high-tech\dropshipping-high-tech.webp","deposer ou corriger le WebP exact dans le dossier depot","ameliore la navigation et le taux de clic categories","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"10","P1","image_categorie_dropshipping","categorie","Accessoires","dropshipping-accessoires.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\02-accessoires-dropshipping-accessoires","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\02-accessoires-dropshipping-accessoires\dropshipping-accessoires.webp","deposer ou corriger le WebP exact dans le dossier depot","ameliore la navigation et le taux de clic categories","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
