priority,lane,name,slug,categoryId,status,imageBlockers,currentImage,targetPublicPath,targetLocalPath,proofChecklistPath,nextAction
"9","REMPLACER_IMAGE","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","dropshipping-high-tech","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/high-tech.webp","/uploads/partner-products/mini-humidificateur-usb-bureau-partenaire-hold.webp","public\uploads\partner-products\mini-humidificateur-usb-bureau-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\mini-humidificateur-usb-bureau-partenaire-hold\PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"9","REMPLACER_IMAGE","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","dropshipping-high-tech","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/high-tech.webp","/uploads/partner-products/mini-pompe-air-usb-voyage-partenaire-hold.webp","public\uploads\partner-products\mini-pompe-air-usb-voyage-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\mini-pompe-air-usb-voyage-partenaire-hold\PREUVE_IMAGE_mini-pompe-air-usb-voyage-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"10","REMPLACER_IMAGE","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","dropshipping-high-tech","draft","image_remote_not_local | supplier_cdn_image | image_not_in_exact_product_depot | image_not_webp | image_rights_not_ready","[image distante masquee]","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","public\uploads\partner-products\cable-usb-c-240w-renforce-best-seller.webp","business-maxi-trouvailles\preuves-images-publiques\cable-usb-c-240w-renforce-best-seller\PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"10","REMPLACER_IMAGE","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","dropshipping-high-tech","draft","image_remote_not_local | supplier_cdn_image | image_not_in_exact_product_depot | image_not_webp | image_rights_not_ready","[image distante masquee]","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","public\uploads\partner-products\lampe-velo-usb-rechargeable-affichage-batterie.webp","business-maxi-trouvailles\preuves-images-publiques\lampe-velo-usb-rechargeable-affichage-batterie\PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"10","REMPLACER_IMAGE","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","dropshipping-high-tech","draft","image_remote_not_local | supplier_cdn_image | image_not_in_exact_product_depot | image_not_webp | image_rights_not_ready","[image distante masquee]","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","public\uploads\partner-products\support-pc-portable-pliant-aluminium-ajustable.webp","business-maxi-trouvailles\preuves-images-publiques\support-pc-portable-pliant-aluminium-ajustable\PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"12","REMPLACER_IMAGE","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","dropshipping-accessoires","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/accessoires.webp","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","public\uploads\partner-products\attaches-cables-velcro-lot-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\attaches-cables-velcro-lot-partenaire-hold\PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"12","REMPLACER_IMAGE","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","dropshipping-beaute","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/beaute-sante.webp","/uploads/partner-products/bandeau-skincare-microfibre-partenaire-hold.webp","public\uploads\partner-products\bandeau-skincare-microfibre-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\bandeau-skincare-microfibre-partenaire-hold\PREUVE_IMAGE_bandeau-skincare-microfibre-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"12","REMPLACER_IMAGE","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","dropshipping-accessoires","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/accessoires.webp","/uploads/partner-products/boite-rangement-cables-bureau-partenaire-hold.webp","public\uploads\partner-products\boite-rangement-cables-bureau-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\boite-rangement-cables-bureau-partenaire-hold\PREUVE_IMAGE_boite-rangement-cables-bureau-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"12","REMPLACER_IMAGE","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","dropshipping-mode","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/vetements.webp","/uploads/partner-products/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","public\uploads\partner-products\brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\brosse-chaussures-nettoyage-3-en-1-partenaire-hold\PREUVE_IMAGE_brosse-chaussures-nettoyage-3-en-1-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
"12","REMPLACER_IMAGE","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","dropshipping-cuisine","draft","exact_images_not_verified | image_not_exact_product_photo | image_not_in_exact_product_depot | image_rights_not_ready","/uploads/category-images/cuisine.webp","/uploads/partner-products/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","public\uploads\partner-products\brosse-nettoyage-joints-cuisine-partenaire-hold.webp","business-maxi-trouvailles\preuves-images-publiques\brosse-nettoyage-joints-cuisine-partenaire-hold\PREUVE_IMAGE_brosse-nettoyage-joints-cuisine-partenaire-hold.md","Deposer une photo WebP locale du meme article exact, puis garder HOLD jusqu a revue humaine."
