priority,status,categoryId,categorySlug,categoryName,visible,parentId,currentImageFileName,currentImageUrl,fileStatus,fileBytes,fileWidth,fileHeight,sharedWithCategoryIds,proposedImageFileName,proposedPublicUrl,inSprint,promotionStatus,action,blockers,visualDirection
"P1","PRODUCE_OR_DEPOSIT_WEBP_FIRST","dropshipping-high-tech","high-tech-partenaires","High-tech","true","dropshipping","high-tech.webp","/uploads/category-images/high-tech.webp","present_valid_webp_signature","38954","960","640","high-tech","dropshipping-high-tech.webp","/uploads/category-images/dropshipping-high-tech.webp","true","HOLD_MECHANICAL_BLOCKERS","deposer un WebP valide puis relancer la passerelle de promotion","MISSING_WEBP_IN_DROP_FOLDER","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: ecrans, ordinateurs, objets connectes et technologie moderne. Style premium leger, lumineux, responsive mobile et PC."
"P1","PRODUCE_OR_DEPOSIT_WEBP_FIRST","dropshipping-accessoires","accessoires-partenaires","Accessoires","true","dropshipping","accessoires.webp","/uploads/category-images/accessoires.webp","present_valid_webp_signature","104740","960","640","accessoires","dropshipping-accessoires.webp","/uploads/category-images/dropshipping-accessoires.webp","true","HOLD_MECHANICAL_BLOCKERS","deposer un WebP valide puis relancer la passerelle de promotion","MISSING_WEBP_IN_DROP_FOLDER","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: sacs, montres, bijoux et accessoires varies. Style premium leger, lumineux, responsive mobile et PC."
"P1","PRODUCE_OR_DEPOSIT_WEBP_FIRST","dropshipping-auto-moto","auto-moto-partenaires","Auto / Moto","true","dropshipping","auto-moto.webp","/uploads/category-images/auto-moto.webp","present_valid_webp_signature","102094","960","640","auto-moto","dropshipping-auto-moto.webp","/uploads/category-images/dropshipping-auto-moto.webp","true","HOLD_MECHANICAL_BLOCKERS","deposer un WebP valide puis relancer la passerelle de promotion","MISSING_WEBP_IN_DROP_FOLDER","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: voiture et moto, accessoires modernes, nettoyage et confort vehicule. Style premium leger, lumineux, responsive mobile et PC."
"P1","PRODUCE_OR_DEPOSIT_WEBP_FIRST","dropshipping-maison","maison-partenaires","Maison","true","dropshipping","maison.webp","/uploads/category-images/maison.webp","present_valid_webp_signature","109766","960","640","maison","dropshipping-maison.webp","/uploads/category-images/dropshipping-maison.webp","true","HOLD_MECHANICAL_BLOCKERS","deposer un WebP valide puis relancer la passerelle de promotion","MISSING_WEBP_IN_DROP_FOLDER","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: pieces maison, rangement et confort interieur. Style premium leger, lumineux, responsive mobile et PC."
"P1","PRODUCE_OR_DEPOSIT_WEBP_FIRST","dropshipping-cuisine","cuisine-partenaires","Cuisine","true","dropshipping","cuisine.webp","/uploads/category-images/cuisine.webp","present_valid_webp_signature","59538","960","640","cuisine","dropshipping-cuisine.webp","/uploads/category-images/dropshipping-cuisine.webp","true","HOLD_MECHANICAL_BLOCKERS","deposer un WebP valide puis relancer la passerelle de promotion","MISSING_WEBP_IN_DROP_FOLDER","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: robot cuisine, ustensiles, vaisselle, mugs et cuisine moderne. Style premium leger, lumineux, responsive mobile et PC."
"P2","CREATE_DEDICATED_PARTNER_VISUAL","dropshipping-beaute","beaute-partenaires","Beauté","true","dropshipping","beaute-sante.webp","/uploads/category-images/beaute-sante.webp","present_valid_webp_signature","48964","960","640","beaute-sante","dropshipping-beaute.webp","/uploads/category-images/dropshipping-beaute.webp","false","","creer une variante visuelle dediee produits partenaires","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: soins, maquillage, parfum, bien-etre et accessoires beaute. Style premium leger, lumineux, responsive mobile et PC."
"P2","CREATE_DEDICATED_PARTNER_VISUAL","dropshipping-animaux","animaux-partenaires","Animaux","true","dropshipping","animaux.webp","/uploads/category-images/animaux.webp","present_valid_webp_signature","85906","960","640","animaux","dropshipping-animaux.webp","/uploads/category-images/dropshipping-animaux.webp","false","","creer une variante visuelle dediee produits partenaires","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: chien, chat, accessoires animaux et rayon animalerie chaleureux. Style premium leger, lumineux, responsive mobile et PC."
"P2","CREATE_DEDICATED_PARTNER_VISUAL","dropshipping-mode","mode-partenaires","Mode","true","dropshipping","vetements.webp","/uploads/category-images/vetements.webp","present_valid_webp_signature","120852","960","640","vetements","dropshipping-mode.webp","/uploads/category-images/dropshipping-mode.webp","false","","creer une variante visuelle dediee produits partenaires","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: portants vetements, mode homme/femme et ambiance boutique textile. Style premium leger, lumineux, responsive mobile et PC."
"P2","CREATE_DEDICATED_PARTNER_VISUAL","dropshipping-enfant","enfant-partenaires","Enfant","true","dropshipping","jouets.webp","/uploads/category-images/jouets.webp","present_valid_webp_signature","90428","960","640","jouets","dropshipping-enfant.webp","/uploads/category-images/dropshipping-enfant.webp","false","","creer une variante visuelle dediee produits partenaires","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: jouets enfants, figurines, jeux et univers colore propre. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_DEDICATED_VISIBLE_ASSET_REVIEW_HIDDEN_COPY","dropshipping-promotions","promotions-partenaires","Promotions","true","dropshipping","dropshipping-promotions.webp","/uploads/category-images/dropshipping-promotions.webp","present_valid_webp_signature","63386","960","640","lots-bonnes-affaires","dropshipping-promotions.webp","/uploads/category-images/dropshipping-promotions.webp","false","","conserver l'image dediee visible et verifier seulement la categorie cachee partagee","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: promotions propres, prix visuels sans marque et sensation bonnes affaires. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","high-tech","high-tech","High-tech","true","","high-tech.webp","/uploads/category-images/high-tech.webp","present_valid_webp_signature","38954","960","640","dropshipping-high-tech","high-tech-rayon.webp","/uploads/category-images/high-tech-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: ecrans, ordinateurs, objets connectes et technologie moderne. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","auto-moto","auto-moto","Auto / moto","true","","auto-moto.webp","/uploads/category-images/auto-moto.webp","present_valid_webp_signature","102094","960","640","dropshipping-auto-moto","auto-moto-rayon.webp","/uploads/category-images/auto-moto-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: voiture et moto, accessoires modernes, nettoyage et confort vehicule. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","accessoires","accessoires","Accessoires","true","","accessoires.webp","/uploads/category-images/accessoires.webp","present_valid_webp_signature","104740","960","640","dropshipping-accessoires","accessoires-rayon.webp","/uploads/category-images/accessoires-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: sacs, montres, bijoux et accessoires varies. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","maison","maison","Maison","true","","maison.webp","/uploads/category-images/maison.webp","present_valid_webp_signature","109766","960","640","dropshipping-maison","maison-rayon.webp","/uploads/category-images/maison-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: pieces maison, rangement et confort interieur. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","cuisine","cuisine","Cuisine","true","","cuisine.webp","/uploads/category-images/cuisine.webp","present_valid_webp_signature","59538","960","640","dropshipping-cuisine","cuisine-rayon.webp","/uploads/category-images/cuisine-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: robot cuisine, ustensiles, vaisselle, mugs et cuisine moderne. Style premium leger, lumineux, responsive mobile et PC."
