batch_id;batch_number;product_rank;product_id;product_name;category_id;task_type;task_order;label;status;local_target;expected_action
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;1;sacs-compression-voyage-lot-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;2;sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;webp;3;sacs-compression-voyage-lot-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sacs-compression-voyage-lot-partenaire-hold/sacs-compression-voyage-lot-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;1;sac-repas-isotherme-pliable-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;2;sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;3;sac-repas-isotherme-pliable-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
