"session_order","group_order","urgency","lane","target_type","target_name","expected_file_name","current_status","drop_folder","staging_path","required_shot","next_action","post_deposit_checks","safety_status"
"1","1","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","01-pochette-organisateur-cables-double-couche-voyage-main.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\01-pochette-organisateur-cables-double-couche-voyage-main.webp","main - photo produit entier, pochette seule, angle 3/4, fermeture visible","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"2","1","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","02-pochette-organisateur-cables-double-couche-voyage-detail.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\02-pochette-organisateur-cables-double-couche-voyage-detail.webp","detail - detail interieur/compartiments et fermeture, sans objet non inclus trompeur","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"3","1","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","03-pochette-organisateur-cables-double-couche-voyage-usage.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\03-pochette-organisateur-cables-double-couche-voyage-usage.webp","usage - mise en situation avec cables pour montrer l'usage, en precisant que les accessoires ne sont pas inclus si besoin","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"4","1","P0","photo_produit_exacte","produit","Pochette organisateur câbles double couche voyage","04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","dimensions - photo avec repere dimensions lisible ou preuve dimensions separee","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"5","2","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","01-support-pc-portable-pliant-aluminium-ajustable-main.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\01-support-pc-portable-pliant-aluminium-ajustable-main.webp","main - support seul, deploye, angle 3/4, matiere et forme visibles","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"6","2","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","detail - detail charniere, reglages, patins ou pliage","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"7","2","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","usage - usage avec ordinateur en contexte uniquement; ne pas laisser penser que l'ordinateur est inclus","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"8","2","P0","photo_produit_exacte","produit","Support PC portable pliant aluminium ajustable","04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","missing","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","dimensions - dimensions, hauteur/reglage ou encombrement plie/deplie","Deposer le WebP exact avec ce nom.","npm run catalog:photo-drop-kit | npm run catalog:audit-photo-checklist | npm run catalog:audit-sprint-image-human-review","HOLD_PHOTOS_PRODUITS"
"9","3","P1","image_categorie_dropshipping","categorie","High-tech","dropshipping-high-tech.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\01-high-tech-dropshipping-high-tech","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\01-high-tech-dropshipping-high-tech\dropshipping-high-tech.webp","Version produits partenaires: montrer une selection ecommerce neuve et propre, sans marketplace visible. Differencier de l'image actuelle partagee avec High-tech. Signal visuel prioritaire: technologie moderne, accessoires connectes, ecrans et objets utiles. Style: realiste ou semi-realiste, premium leger, lumineux, mobile friendly.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"10","4","P1","image_categorie_dropshipping","categorie","Accessoires","dropshipping-accessoires.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\02-accessoires-dropshipping-accessoires","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\02-accessoires-dropshipping-accessoires\dropshipping-accessoires.webp","Version produits partenaires: montrer une selection ecommerce neuve et propre, sans marketplace visible. Differencier de l'image actuelle partagee avec Accessoires. Signal visuel prioritaire: petits accessoires utiles, voyage, rangement et mode sans confusion. Style: realiste ou semi-realiste, premium leger, lumineux, mobile friendly.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"11","5","P1","image_categorie_dropshipping","categorie","Auto / Moto","dropshipping-auto-moto.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\03-auto-moto-dropshipping-auto-moto","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\03-auto-moto-dropshipping-auto-moto\dropshipping-auto-moto.webp","Version produits partenaires: montrer une selection ecommerce neuve et propre, sans marketplace visible. Differencier de l'image actuelle partagee avec Auto / moto. Signal visuel prioritaire: equipement vehicule, nettoyage, confort auto et moto. Style: realiste ou semi-realiste, premium leger, lumineux, mobile friendly.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"12","6","P1","image_categorie_dropshipping","categorie","Maison","dropshipping-maison.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\04-maison-dropshipping-maison","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\04-maison-dropshipping-maison\dropshipping-maison.webp","Version produits partenaires: montrer une selection ecommerce neuve et propre, sans marketplace visible. Differencier de l'image actuelle partagee avec Maison. Signal visuel prioritaire: rangement, confort interieur et objets pratiques pour la maison. Style: realiste ou semi-realiste, premium leger, lumineux, mobile friendly.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"13","7","P1","image_categorie_dropshipping","categorie","Cuisine","dropshipping-cuisine.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\05-cuisine-dropshipping-cuisine","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\05-cuisine-dropshipping-cuisine\dropshipping-cuisine.webp","Version produits partenaires: montrer une selection ecommerce neuve et propre, sans marketplace visible. Differencier de l'image actuelle partagee avec Cuisine. Signal visuel prioritaire: ustensiles, robot, vaisselle et cuisine moderne. Style: realiste ou semi-realiste, premium leger, lumineux, mobile friendly.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"14","8","P2","image_categorie_dropshipping","categorie","Beauté","dropshipping-beaute.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\01-beaute-dropshipping-beaute","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\01-beaute-dropshipping-beaute\dropshipping-beaute.webp","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: soins, maquillage, parfum, bien-etre et accessoires beaute. Style premium leger, lumineux, responsive mobile et PC.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"15","9","P2","image_categorie_dropshipping","categorie","Animaux","dropshipping-animaux.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\02-animaux-dropshipping-animaux","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\02-animaux-dropshipping-animaux\dropshipping-animaux.webp","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: chien, chat, accessoires animaux et rayon animalerie chaleureux. Style premium leger, lumineux, responsive mobile et PC.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"16","10","P2","image_categorie_dropshipping","categorie","Mode","dropshipping-mode.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\03-mode-dropshipping-mode","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\03-mode-dropshipping-mode\dropshipping-mode.webp","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: portants vetements, mode homme/femme et ambiance boutique textile. Style premium leger, lumineux, responsive mobile et PC.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
"17","11","P2","image_categorie_dropshipping","categorie","Enfant","dropshipping-enfant.webp","missing","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\04-enfant-dropshipping-enfant","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\04-enfant-dropshipping-enfant\dropshipping-enfant.webp","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: jouets enfants, figurines, jeux et univers colore propre. Style premium leger, lumineux, responsive mobile et PC.","deposer ou corriger le WebP exact dans le dossier depot","npm run catalog:category-image-intake-status | npm run catalog:category-image-promotion-plan","HOLD_CATEGORY_IMAGE_INTAKE_REQUIRED"
