priority;product_id;product_name;category_id;file_name;role;deposit_path;expected;status
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;housse-protection-canape-animal-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\housse-protection-canape-animal-partenaire-hold\housse-protection-canape-animal-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;housse-protection-canape-animal-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\housse-protection-canape-animal-partenaire-hold\housse-protection-canape-animal-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;housse-protection-canape-animal-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\housse-protection-canape-animal-partenaire-hold\housse-protection-canape-animal-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\cache-multiprise-boite-rangement-cables-partenaire-hold\cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\cache-multiprise-boite-rangement-cables-partenaire-hold\cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\cache-multiprise-boite-rangement-cables-partenaire-hold\cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;trousse-toilette-suspendue-voyage-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\trousse-toilette-suspendue-voyage-partenaire-hold\trousse-toilette-suspendue-voyage-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\trousse-toilette-suspendue-voyage-partenaire-hold\trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\trousse-toilette-suspendue-voyage-partenaire-hold\trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;etagere-douche-angle-adhesive-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\etagere-douche-angle-adhesive-partenaire-hold\etagere-douche-angle-adhesive-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
