priority;id;name;categoryId;priorityScore;targetSalePrice;targetMargin;exactProductUrl;partnerName;supplierSku;exactVariant;supplierPriceCents;supplierStock;deliveryToFrance;trackingAvailable;imageRightsEvidence;imageDepositDir;expectedImageFiles;moussValidation;nextAction
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;92;24.90 EUR;13.70 EUR (55%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\housse-protection-canape-animal-partenaire-hold;housse-protection-canape-animal-partenaire-hold-main.webp|housse-protection-canape-animal-partenaire-hold-detail-1.webp|housse-protection-canape-animal-partenaire-hold-variant.webp;false;"Verifier dimensions, usage reel, photos exactes et delai France/Europe."
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;91;18.90 EUR;11.30 EUR (60%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\cache-multiprise-boite-rangement-cables-partenaire-hold;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp|cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp|cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;false;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie."
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;91;17.90 EUR;11.70 EUR (65%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\trousse-toilette-suspendue-voyage-partenaire-hold;trousse-toilette-suspendue-voyage-partenaire-hold-main.webp|trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp|trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;false;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie."
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;90;19.90 EUR;12.30 EUR (62%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\etagere-douche-angle-adhesive-partenaire-hold;etagere-douche-angle-adhesive-partenaire-hold-main.webp|etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp|etagere-douche-angle-adhesive-partenaire-hold-variant.webp;false;"Verifier dimensions, usage reel, photos exactes et delai France/Europe."
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;89;18.90 EUR;11.70 EUR (62%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-a-the-compartiments-bambou-partenaire-hold;boite-a-the-compartiments-bambou-partenaire-hold-main.webp|boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp|boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;false;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image."
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;89;24.90 EUR;13.70 EUR (55%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-coffre-voiture-pliable-partenaire-hold;organisateur-coffre-voiture-pliable-partenaire-hold-main.webp|organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp|organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;false;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante."
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;89;19.90 EUR;11.70 EUR (59%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-tiroir-cuisine-extensible-partenaire-hold;organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp|organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp|organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;false;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image."
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;89;15.90 EUR;10.50 EUR (66%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sacs-compression-voyage-lot-partenaire-hold;sacs-compression-voyage-lot-partenaire-hold-main.webp|sacs-compression-voyage-lot-partenaire-hold-detail-1.webp|sacs-compression-voyage-lot-partenaire-hold-variant.webp;false;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie."
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;88;14.90 EUR;10.10 EUR (68%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sac-repas-isotherme-pliable-partenaire-hold;sac-repas-isotherme-pliable-partenaire-hold-main.webp|sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp|sac-repas-isotherme-pliable-partenaire-hold-variant.webp;false;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie."
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;87;16.90 EUR;10.80 EUR (64%);;;;;;;;;;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-rangement-medicaments-vide-partenaire-hold;boite-rangement-medicaments-vide-partenaire-hold-main.webp|boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp|boite-rangement-medicaments-vide-partenaire-hold-variant.webp;false;"Verifier dimensions, usage reel, photos exactes et delai France/Europe."
